Sentiment Score,Sentiment Type,Very positive,Positive,Neutral,Negative,Very negative
3.0,Positive,20.0%,60.0%,14.0%,5.0%,2.0%
1.0,Negative,1.0%,0.0%,8.0%,50.0%,40.0%
3.0,Positive,3.0%,38.0%,37.0%,20.0%,3.0%
1.0,Negative,3.0%,13.0%,27.0%,47.0%,10.0%
3.0,Positive,6.0%,75.0%,17.0%,2.0%,1.0%
2.0,Neutral,2.0%,8.0%,59.0%,26.0%,5.0%
1.0,Negative,2.0%,7.0%,34.0%,50.0%,7.0%
1.0,Negative,1.0%,2.0%,19.0%,55.0%,23.0%
2.0,Neutral,2.0%,24.0%,51.0%,20.0%,2.0%
2.0,Neutral,6.0%,38.0%,40.0%,14.0%,3.0%
1.0,Negative,1.0%,1.0%,14.0%,58.0%,26.0%
2.0,Neutral,0.0%,4.0%,90.0%,5.0%,0.0%
2.0,Neutral,2.0%,19.0%,61.0%,15.0%,2.0%
2.0,Neutral,2.0%,22.0%,60.0%,14.0%,2.0%
1.0,Negative,2.0%,1.0%,5.0%,52.0%,40.0%
1.0,Negative,0.0%,1.0%,18.0%,72.0%,9.0%
2.0,Neutral,0.0%,5.0%,76.0%,18.0%,1.0%
1.0,Negative,1.0%,2.0%,21.0%,65.0%,11.0%
2.0,Neutral,2.0%,16.0%,43.0%,35.0%,4.0%
1.0,Negative,1.0%,2.0%,31.0%,58.0%,7.0%
2.0,Neutral,1.0%,6.0%,48.0%,39.0%,5.0%
1.0,Negative,2.0%,6.0%,26.0%,56.0%,10.0%
1.0,Negative,3.0%,9.0%,22.0%,55.0%,11.0%
2.0,Neutral,0.0%,1.0%,98.0%,1.0%,0.0%
1.0,Negative,2.0%,2.0%,21.0%,54.0%,21.0%
1.0,Negative,7.0%,28.0%,26.0%,32.0%,7.0%
1.0,Negative,4.0%,19.0%,31.0%,40.0%,7.0%
1.0,Negative,1.0%,1.0%,13.0%,56.0%,29.0%
1.0,Negative,2.0%,7.0%,20.0%,60.0%,11.0%
1.0,Negative,2.0%,9.0%,25.0%,55.0%,9.0%
2.0,Neutral,2.0%,17.0%,69.0%,10.0%,2.0%
1.0,Negative,3.0%,11.0%,32.0%,45.0%,10.0%
3.0,Positive,14.0%,54.0%,16.0%,12.0%,4.0%
1.0,Negative,2.0%,4.0%,21.0%,57.0%,16.0%
2.0,Neutral,0.0%,2.0%,90.0%,7.0%,1.0%
1.0,Negative,1.0%,4.0%,31.0%,56.0%,8.0%
1.0,Negative,1.0%,2.0%,19.0%,65.0%,13.0%
1.0,Negative,1.0%,1.0%,14.0%,65.0%,20.0%
1.0,Negative,0.0%,2.0%,38.0%,55.0%,5.0%
1.0,Negative,1.0%,3.0%,41.0%,48.0%,6.0%
3.0,Positive,4.0%,46.0%,32.0%,14.0%,3.0%
3.0,Positive,8.0%,41.0%,30.0%,16.0%,4.0%
2.0,Neutral,7.0%,20.0%,37.0%,29.0%,7.0%
2.0,Neutral,1.0%,8.0%,76.0%,13.0%,1.0%
3.0,Positive,13.0%,76.0%,8.0%,2.0%,1.0%
1.0,Negative,2.0%,7.0%,31.0%,50.0%,9.0%
2.0,Neutral,0.0%,7.0%,91.0%,2.0%,0.0%
1.0,Negative,2.0%,7.0%,28.0%,50.0%,13.0%
1.0,Negative,2.0%,5.0%,24.0%,59.0%,10.0%
1.0,Negative,0.0%,1.0%,24.0%,68.0%,7.0%
1.0,Negative,1.0%,2.0%,29.0%,54.0%,14.0%
1.0,Negative,1.0%,2.0%,12.0%,64.0%,21.0%
2.0,Neutral,1.0%,21.0%,68.0%,9.0%,1.0%
2.0,Neutral,2.0%,14.0%,41.0%,38.0%,5.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,2.0%,13.0%,70.0%,13.0%
2.0,Neutral,3.0%,33.0%,48.0%,14.0%,2.0%
1.0,Negative,2.0%,5.0%,18.0%,60.0%,15.0%
1.0,Negative,10.0%,12.0%,13.0%,47.0%,18.0%
2.0,Neutral,2.0%,8.0%,59.0%,28.0%,5.0%
2.0,Neutral,2.0%,13.0%,47.0%,34.0%,4.0%
3.0,Positive,14.0%,52.0%,17.0%,13.0%,4.0%
3.0,Positive,14.0%,59.0%,12.0%,11.0%,3.0%
1.0,Negative,2.0%,2.0%,16.0%,50.0%,30.0%
1.0,Negative,2.0%,9.0%,17.0%,61.0%,11.0%
1.0,Negative,5.0%,5.0%,15.0%,51.0%,25.0%
1.0,Negative,1.0%,3.0%,20.0%,64.0%,11.0%
1.0,Negative,5.0%,12.0%,22.0%,46.0%,15.0%
2.0,Neutral,2.0%,18.0%,52.0%,25.0%,3.0%
2.0,Neutral,3.0%,27.0%,54.0%,13.0%,2.0%
2.0,Neutral,4.0%,31.0%,44.0%,18.0%,3.0%
2.0,Neutral,2.0%,14.0%,49.0%,31.0%,5.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,2.0%,25.0%,62.0%,11.0%
1.0,Negative,2.0%,7.0%,35.0%,47.0%,9.0%
1.0,Negative,0.0%,0.0%,4.0%,73.0%,23.0%
1.0,Negative,1.0%,4.0%,27.0%,57.0%,10.0%
3.0,Positive,5.0%,59.0%,27.0%,7.0%,1.0%
2.0,Neutral,1.0%,3.0%,53.0%,37.0%,6.0%
3.0,Positive,16.0%,45.0%,17.0%,16.0%,6.0%
2.0,Neutral,3.0%,39.0%,46.0%,10.0%,2.0%
1.0,Negative,1.0%,1.0%,27.0%,49.0%,23.0%
1.0,Negative,1.0%,1.0%,20.0%,57.0%,20.0%
1.0,Negative,0.0%,1.0%,31.0%,59.0%,9.0%
1.0,Negative,2.0%,6.0%,26.0%,59.0%,7.0%
2.0,Neutral,2.0%,12.0%,59.0%,24.0%,3.0%
1.0,Negative,4.0%,19.0%,25.0%,45.0%,8.0%
1.0,Negative,1.0%,1.0%,15.0%,67.0%,17.0%
2.0,Neutral,1.0%,6.0%,72.0%,19.0%,2.0%
2.0,Neutral,1.0%,6.0%,57.0%,33.0%,3.0%
1.0,Negative,4.0%,16.0%,35.0%,37.0%,7.0%
1.0,Negative,1.0%,3.0%,21.0%,69.0%,6.0%
1.0,Negative,1.0%,8.0%,39.0%,47.0%,6.0%
1.0,Negative,3.0%,21.0%,27.0%,42.0%,7.0%
2.0,Neutral,0.0%,6.0%,88.0%,4.0%,1.0%
3.0,Positive,4.0%,60.0%,30.0%,6.0%,1.0%
1.0,Negative,2.0%,11.0%,20.0%,59.0%,8.0%
1.0,Negative,1.0%,2.0%,20.0%,58.0%,19.0%
2.0,Neutral,1.0%,16.0%,61.0%,20.0%,2.0%
3.0,Positive,3.0%,50.0%,21.0%,22.0%,3.0%
1.0,Negative,2.0%,7.0%,28.0%,52.0%,10.0%
3.0,Positive,19.0%,72.0%,7.0%,1.0%,0.0%
2.0,Neutral,1.0%,5.0%,45.0%,44.0%,6.0%
1.0,Negative,2.0%,8.0%,36.0%,47.0%,8.0%
3.0,Positive,6.0%,36.0%,33.0%,20.0%,4.0%
1.0,Negative,3.0%,15.0%,37.0%,38.0%,7.0%
2.0,Neutral,2.0%,21.0%,45.0%,28.0%,4.0%
3.0,Positive,3.0%,46.0%,43.0%,8.0%,1.0%
2.0,Neutral,1.0%,7.0%,74.0%,15.0%,2.0%
1.0,Negative,1.0%,1.0%,22.0%,59.0%,17.0%
2.0,Neutral,1.0%,4.0%,53.0%,39.0%,3.0%
1.0,Negative,0.0%,2.0%,26.0%,67.0%,5.0%
1.0,Negative,0.0%,2.0%,15.0%,76.0%,7.0%
1.0,Negative,3.0%,13.0%,29.0%,46.0%,10.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,6.0%,36.0%,52.0%,5.0%
2.0,Neutral,1.0%,4.0%,52.0%,32.0%,10.0%
1.0,Negative,4.0%,28.0%,14.0%,45.0%,8.0%
1.0,Negative,3.0%,5.0%,22.0%,52.0%,18.0%
2.0,Neutral,1.0%,6.0%,61.0%,30.0%,3.0%
2.0,Neutral,3.0%,15.0%,39.0%,36.0%,7.0%
2.0,Neutral,4.0%,28.0%,58.0%,8.0%,2.0%
0.0,Very negative,1.0%,0.0%,6.0%,39.0%,53.0%
1.0,Negative,3.0%,7.0%,26.0%,53.0%,12.0%
1.0,Negative,2.0%,9.0%,22.0%,57.0%,11.0%
2.0,Neutral,3.0%,39.0%,42.0%,14.0%,2.0%
1.0,Negative,1.0%,5.0%,25.0%,59.0%,10.0%
3.0,Positive,8.0%,45.0%,29.0%,14.0%,4.0%
1.0,Negative,3.0%,24.0%,30.0%,38.0%,5.0%
2.0,Neutral,2.0%,22.0%,36.0%,35.0%,6.0%
3.0,Positive,28.0%,60.0%,10.0%,1.0%,0.0%
1.0,Negative,1.0%,3.0%,25.0%,61.0%,10.0%
2.0,Neutral,1.0%,18.0%,55.0%,23.0%,3.0%
1.0,Negative,1.0%,2.0%,18.0%,64.0%,15.0%
3.0,Positive,40.0%,55.0%,3.0%,1.0%,1.0%
1.0,Negative,4.0%,12.0%,25.0%,47.0%,12.0%
1.0,Negative,2.0%,10.0%,34.0%,46.0%,8.0%
1.0,Negative,1.0%,2.0%,10.0%,69.0%,17.0%
1.0,Negative,3.0%,15.0%,32.0%,41.0%,8.0%
1.0,Negative,0.0%,2.0%,39.0%,53.0%,6.0%
1.0,Negative,1.0%,9.0%,22.0%,56.0%,12.0%
3.0,Positive,29.0%,57.0%,5.0%,6.0%,3.0%
1.0,Negative,2.0%,18.0%,34.0%,39.0%,7.0%
2.0,Neutral,3.0%,26.0%,52.0%,16.0%,3.0%
1.0,Negative,2.0%,2.0%,20.0%,51.0%,25.0%
1.0,Negative,1.0%,4.0%,22.0%,62.0%,11.0%
1.0,Negative,1.0%,1.0%,13.0%,57.0%,27.0%
1.0,Negative,4.0%,17.0%,17.0%,52.0%,11.0%
2.0,Neutral,2.0%,30.0%,53.0%,13.0%,2.0%
2.0,Neutral,3.0%,18.0%,44.0%,31.0%,5.0%
3.0,Positive,12.0%,46.0%,29.0%,11.0%,3.0%
3.0,Positive,10.0%,57.0%,28.0%,4.0%,1.0%
3.0,Positive,29.0%,52.0%,9.0%,6.0%,4.0%
2.0,Neutral,1.0%,10.0%,85.0%,5.0%,1.0%
3.0,Positive,5.0%,71.0%,16.0%,7.0%,1.0%
2.0,Neutral,1.0%,8.0%,51.0%,36.0%,4.0%
1.0,Negative,1.0%,2.0%,22.0%,63.0%,12.0%
3.0,Positive,3.0%,67.0%,17.0%,11.0%,2.0%
2.0,Neutral,2.0%,17.0%,61.0%,18.0%,2.0%
2.0,Neutral,3.0%,37.0%,52.0%,7.0%,1.0%
2.0,Neutral,1.0%,19.0%,68.0%,11.0%,1.0%
2.0,Neutral,2.0%,8.0%,58.0%,28.0%,4.0%
1.0,Negative,1.0%,7.0%,35.0%,49.0%,8.0%
1.0,Negative,1.0%,6.0%,39.0%,44.0%,9.0%
3.0,Positive,36.0%,51.0%,6.0%,4.0%,2.0%
3.0,Positive,20.0%,46.0%,22.0%,8.0%,4.0%
2.0,Neutral,5.0%,27.0%,34.0%,29.0%,6.0%
2.0,Neutral,0.0%,2.0%,86.0%,11.0%,1.0%
1.0,Negative,3.0%,28.0%,30.0%,33.0%,5.0%
1.0,Negative,3.0%,12.0%,33.0%,44.0%,8.0%
1.0,Negative,0.0%,1.0%,32.0%,59.0%,8.0%
1.0,Negative,1.0%,7.0%,37.0%,48.0%,7.0%
3.0,Positive,13.0%,68.0%,14.0%,4.0%,1.0%
1.0,Negative,0.0%,3.0%,31.0%,60.0%,5.0%
2.0,Neutral,1.0%,8.0%,62.0%,25.0%,3.0%
3.0,Positive,43.0%,52.0%,3.0%,0.0%,0.0%
1.0,Negative,0.0%,3.0%,28.0%,63.0%,6.0%
2.0,Neutral,1.0%,15.0%,71.0%,12.0%,1.0%
1.0,Negative,1.0%,4.0%,26.0%,57.0%,12.0%
2.0,Neutral,1.0%,39.0%,59.0%,1.0%,0.0%
1.0,Negative,1.0%,13.0%,36.0%,41.0%,7.0%
2.0,Neutral,0.0%,0.0%,99.0%,0.0%,0.0%
2.0,Neutral,2.0%,14.0%,47.0%,32.0%,5.0%
1.0,Negative,5.0%,20.0%,22.0%,42.0%,11.0%
1.0,Negative,2.0%,4.0%,11.0%,59.0%,23.0%
1.0,Negative,2.0%,5.0%,20.0%,60.0%,14.0%
2.0,Neutral,1.0%,9.0%,74.0%,15.0%,1.0%
1.0,Negative,3.0%,11.0%,22.0%,55.0%,10.0%
1.0,Negative,4.0%,10.0%,18.0%,54.0%,14.0%
3.0,Positive,17.0%,36.0%,23.0%,17.0%,6.0%
2.0,Neutral,0.0%,4.0%,70.0%,24.0%,2.0%
1.0,Negative,1.0%,3.0%,17.0%,63.0%,15.0%
2.0,Neutral,1.0%,9.0%,44.0%,41.0%,4.0%
3.0,Positive,5.0%,55.0%,32.0%,7.0%,1.0%
2.0,Neutral,0.0%,0.0%,100.0%,0.0%,0.0%
1.0,Negative,1.0%,4.0%,25.0%,59.0%,11.0%
2.0,Neutral,3.0%,12.0%,44.0%,36.0%,5.0%
1.0,Negative,2.0%,4.0%,18.0%,62.0%,14.0%
1.0,Negative,3.0%,12.0%,30.0%,48.0%,8.0%
2.0,Neutral,0.0%,11.0%,84.0%,3.0%,0.0%
1.0,Negative,1.0%,3.0%,11.0%,72.0%,13.0%
1.0,Negative,4.0%,15.0%,27.0%,44.0%,10.0%
1.0,Negative,1.0%,1.0%,13.0%,56.0%,28.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
3.0,Positive,9.0%,34.0%,33.0%,18.0%,6.0%
3.0,Positive,11.0%,60.0%,24.0%,4.0%,1.0%
1.0,Negative,1.0%,5.0%,39.0%,48.0%,6.0%
2.0,Neutral,4.0%,22.0%,37.0%,31.0%,6.0%
1.0,Negative,1.0%,0.0%,10.0%,51.0%,38.0%
3.0,Positive,26.0%,68.0%,5.0%,1.0%,0.0%
1.0,Negative,1.0%,6.0%,23.0%,60.0%,10.0%
1.0,Negative,1.0%,8.0%,41.0%,44.0%,6.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
2.0,Neutral,1.0%,29.0%,66.0%,3.0%,0.0%
1.0,Negative,1.0%,4.0%,40.0%,49.0%,7.0%
2.0,Neutral,2.0%,13.0%,56.0%,26.0%,3.0%
1.0,Negative,1.0%,6.0%,34.0%,53.0%,7.0%
1.0,Negative,3.0%,15.0%,37.0%,38.0%,6.0%
3.0,Positive,10.0%,36.0%,24.0%,24.0%,6.0%
1.0,Negative,3.0%,17.0%,29.0%,45.0%,7.0%
1.0,Negative,1.0%,2.0%,17.0%,63.0%,16.0%
1.0,Negative,2.0%,6.0%,29.0%,54.0%,9.0%
1.0,Negative,1.0%,4.0%,25.0%,57.0%,13.0%
2.0,Neutral,2.0%,11.0%,49.0%,33.0%,5.0%
3.0,Positive,7.0%,39.0%,34.0%,16.0%,3.0%
2.0,Neutral,2.0%,25.0%,58.0%,12.0%,2.0%
1.0,Negative,3.0%,5.0%,20.0%,53.0%,20.0%
1.0,Negative,1.0%,3.0%,13.0%,68.0%,14.0%
2.0,Neutral,2.0%,17.0%,52.0%,25.0%,4.0%
3.0,Positive,4.0%,64.0%,24.0%,6.0%,1.0%
0.0,Very negative,1.0%,1.0%,10.0%,34.0%,54.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,0.0%,1.0%,26.0%,64.0%,9.0%
1.0,Negative,1.0%,1.0%,14.0%,56.0%,28.0%
1.0,Negative,3.0%,10.0%,23.0%,54.0%,11.0%
1.0,Negative,1.0%,4.0%,18.0%,61.0%,16.0%
2.0,Neutral,0.0%,4.0%,65.0%,29.0%,2.0%
2.0,Neutral,0.0%,3.0%,90.0%,7.0%,0.0%
1.0,Negative,12.0%,17.0%,13.0%,39.0%,19.0%
2.0,Neutral,2.0%,10.0%,56.0%,27.0%,5.0%
1.0,Negative,2.0%,5.0%,22.0%,55.0%,15.0%
1.0,Negative,1.0%,2.0%,13.0%,61.0%,23.0%
2.0,Neutral,0.0%,0.0%,100.0%,0.0%,0.0%
1.0,Negative,2.0%,6.0%,16.0%,64.0%,13.0%
1.0,Negative,2.0%,6.0%,26.0%,52.0%,14.0%
1.0,Negative,1.0%,3.0%,19.0%,70.0%,7.0%
2.0,Neutral,2.0%,12.0%,46.0%,35.0%,5.0%
2.0,Neutral,3.0%,17.0%,49.0%,28.0%,4.0%
1.0,Negative,3.0%,9.0%,25.0%,49.0%,13.0%
1.0,Negative,2.0%,4.0%,14.0%,56.0%,23.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,4.0%,22.0%,64.0%,9.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,2.0%,6.0%,29.0%,54.0%,10.0%
1.0,Negative,1.0%,1.0%,8.0%,67.0%,24.0%
1.0,Negative,2.0%,8.0%,32.0%,50.0%,8.0%
2.0,Neutral,1.0%,4.0%,45.0%,43.0%,7.0%
1.0,Negative,1.0%,2.0%,12.0%,68.0%,17.0%
2.0,Neutral,3.0%,23.0%,47.0%,23.0%,4.0%
1.0,Negative,1.0%,4.0%,23.0%,58.0%,14.0%
1.0,Negative,1.0%,3.0%,27.0%,57.0%,13.0%
2.0,Neutral,1.0%,15.0%,81.0%,3.0%,0.0%
2.0,Neutral,3.0%,39.0%,48.0%,8.0%,1.0%
1.0,Negative,2.0%,8.0%,35.0%,49.0%,7.0%
1.0,Negative,3.0%,8.0%,28.0%,50.0%,11.0%
2.0,Neutral,1.0%,10.0%,74.0%,14.0%,2.0%
2.0,Neutral,1.0%,10.0%,80.0%,8.0%,1.0%
3.0,Positive,21.0%,68.0%,7.0%,2.0%,1.0%
1.0,Negative,1.0%,3.0%,29.0%,56.0%,11.0%
1.0,Negative,1.0%,5.0%,36.0%,52.0%,7.0%
4.0,Very positive,61.0%,32.0%,6.0%,0.0%,0.0%
1.0,Negative,2.0%,6.0%,29.0%,53.0%,11.0%
1.0,Negative,2.0%,8.0%,21.0%,57.0%,11.0%
1.0,Negative,0.0%,2.0%,31.0%,61.0%,6.0%
1.0,Negative,0.0%,1.0%,30.0%,59.0%,10.0%
1.0,Negative,2.0%,5.0%,12.0%,61.0%,20.0%
3.0,Positive,11.0%,60.0%,20.0%,7.0%,2.0%
2.0,Neutral,2.0%,14.0%,53.0%,27.0%,4.0%
2.0,Neutral,1.0%,7.0%,46.0%,41.0%,5.0%
2.0,Neutral,4.0%,18.0%,38.0%,34.0%,7.0%
2.0,Neutral,4.0%,19.0%,50.0%,22.0%,4.0%
2.0,Neutral,2.0%,9.0%,57.0%,28.0%,4.0%
2.0,Neutral,4.0%,20.0%,38.0%,32.0%,6.0%
2.0,Neutral,2.0%,11.0%,49.0%,32.0%,5.0%
1.0,Negative,2.0%,16.0%,32.0%,43.0%,6.0%
1.0,Negative,1.0%,8.0%,28.0%,56.0%,7.0%
3.0,Positive,13.0%,49.0%,15.0%,17.0%,7.0%
2.0,Neutral,1.0%,8.0%,56.0%,32.0%,4.0%
2.0,Neutral,3.0%,23.0%,47.0%,23.0%,4.0%
2.0,Neutral,0.0%,6.0%,88.0%,5.0%,0.0%
1.0,Negative,5.0%,8.0%,16.0%,53.0%,18.0%
1.0,Negative,3.0%,9.0%,16.0%,61.0%,10.0%
3.0,Positive,12.0%,62.0%,18.0%,6.0%,2.0%
1.0,Negative,1.0%,2.0%,17.0%,63.0%,17.0%
1.0,Negative,2.0%,7.0%,21.0%,55.0%,14.0%
2.0,Neutral,1.0%,13.0%,73.0%,11.0%,2.0%
2.0,Neutral,1.0%,5.0%,56.0%,29.0%,8.0%
2.0,Neutral,2.0%,6.0%,59.0%,28.0%,6.0%
3.0,Positive,8.0%,51.0%,27.0%,11.0%,3.0%
2.0,Neutral,2.0%,17.0%,53.0%,23.0%,4.0%
1.0,Negative,1.0%,0.0%,8.0%,54.0%,37.0%
1.0,Negative,1.0%,1.0%,18.0%,66.0%,14.0%
3.0,Positive,14.0%,57.0%,19.0%,8.0%,2.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
2.0,Neutral,3.0%,20.0%,38.0%,34.0%,5.0%
2.0,Neutral,0.0%,2.0%,59.0%,33.0%,5.0%
2.0,Neutral,0.0%,5.0%,90.0%,4.0%,0.0%
1.0,Negative,3.0%,8.0%,17.0%,57.0%,14.0%
3.0,Positive,7.0%,59.0%,29.0%,4.0%,1.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,3.0%,19.0%,34.0%,38.0%,5.0%
2.0,Neutral,2.0%,23.0%,53.0%,20.0%,2.0%
2.0,Neutral,1.0%,16.0%,69.0%,12.0%,1.0%
1.0,Negative,0.0%,2.0%,43.0%,50.0%,5.0%
3.0,Positive,13.0%,81.0%,4.0%,1.0%,0.0%
1.0,Negative,2.0%,4.0%,26.0%,52.0%,15.0%
1.0,Negative,1.0%,1.0%,12.0%,46.0%,39.0%
3.0,Positive,7.0%,34.0%,31.0%,22.0%,7.0%
1.0,Negative,1.0%,2.0%,21.0%,57.0%,18.0%
1.0,Negative,1.0%,2.0%,22.0%,67.0%,9.0%
1.0,Negative,0.0%,2.0%,25.0%,67.0%,6.0%
2.0,Neutral,1.0%,8.0%,52.0%,36.0%,3.0%
1.0,Negative,0.0%,2.0%,1.0%,94.0%,3.0%
3.0,Positive,27.0%,63.0%,5.0%,3.0%,2.0%
3.0,Positive,30.0%,63.0%,4.0%,2.0%,1.0%
1.0,Negative,2.0%,1.0%,9.0%,55.0%,33.0%
1.0,Negative,4.0%,15.0%,23.0%,47.0%,11.0%
3.0,Positive,10.0%,61.0%,19.0%,8.0%,2.0%
2.0,Neutral,5.0%,25.0%,35.0%,29.0%,6.0%
1.0,Negative,1.0%,6.0%,25.0%,58.0%,9.0%
2.0,Neutral,2.0%,9.0%,45.0%,39.0%,5.0%
1.0,Negative,2.0%,3.0%,16.0%,58.0%,21.0%
1.0,Negative,1.0%,3.0%,21.0%,63.0%,12.0%
1.0,Negative,1.0%,2.0%,13.0%,66.0%,17.0%
2.0,Neutral,5.0%,37.0%,44.0%,11.0%,2.0%
2.0,Neutral,2.0%,10.0%,44.0%,37.0%,6.0%
2.0,Neutral,2.0%,17.0%,64.0%,15.0%,2.0%
2.0,Neutral,2.0%,26.0%,62.0%,8.0%,1.0%
3.0,Positive,23.0%,52.0%,21.0%,2.0%,1.0%
1.0,Negative,11.0%,22.0%,13.0%,37.0%,17.0%
2.0,Neutral,0.0%,4.0%,91.0%,5.0%,0.0%
1.0,Negative,6.0%,10.0%,15.0%,49.0%,20.0%
1.0,Negative,1.0%,0.0%,14.0%,60.0%,25.0%
2.0,Neutral,6.0%,28.0%,33.0%,27.0%,6.0%
3.0,Positive,8.0%,51.0%,19.0%,18.0%,4.0%
2.0,Neutral,3.0%,26.0%,49.0%,18.0%,3.0%
2.0,Neutral,5.0%,30.0%,50.0%,12.0%,2.0%
2.0,Neutral,1.0%,6.0%,75.0%,16.0%,1.0%
1.0,Negative,1.0%,2.0%,28.0%,64.0%,5.0%
2.0,Neutral,4.0%,30.0%,39.0%,23.0%,4.0%
3.0,Positive,6.0%,54.0%,26.0%,11.0%,2.0%
1.0,Negative,1.0%,6.0%,27.0%,57.0%,9.0%
1.0,Negative,7.0%,6.0%,14.0%,45.0%,28.0%
1.0,Negative,1.0%,3.0%,13.0%,70.0%,14.0%
1.0,Negative,1.0%,2.0%,24.0%,64.0%,9.0%
1.0,Negative,0.0%,1.0%,41.0%,49.0%,8.0%
2.0,Neutral,4.0%,24.0%,37.0%,30.0%,5.0%
3.0,Positive,8.0%,50.0%,29.0%,10.0%,2.0%
3.0,Positive,18.0%,61.0%,17.0%,2.0%,1.0%
1.0,Negative,8.0%,24.0%,26.0%,33.0%,9.0%
3.0,Positive,3.0%,39.0%,25.0%,29.0%,4.0%
1.0,Negative,2.0%,10.0%,23.0%,58.0%,8.0%
3.0,Positive,14.0%,43.0%,30.0%,10.0%,3.0%
1.0,Negative,5.0%,7.0%,14.0%,53.0%,20.0%
2.0,Neutral,2.0%,33.0%,61.0%,3.0%,1.0%
2.0,Neutral,2.0%,29.0%,68.0%,2.0%,0.0%
1.0,Negative,1.0%,4.0%,34.0%,56.0%,5.0%
2.0,Neutral,1.0%,5.0%,50.0%,40.0%,4.0%
1.0,Negative,1.0%,2.0%,17.0%,69.0%,12.0%
2.0,Neutral,4.0%,22.0%,44.0%,26.0%,4.0%
3.0,Positive,9.0%,53.0%,26.0%,9.0%,3.0%
4.0,Very positive,44.0%,38.0%,7.0%,6.0%,6.0%
1.0,Negative,1.0%,3.0%,21.0%,63.0%,12.0%
3.0,Positive,20.0%,60.0%,13.0%,4.0%,2.0%
1.0,Negative,2.0%,8.0%,31.0%,51.0%,9.0%
1.0,Negative,2.0%,4.0%,12.0%,59.0%,22.0%
1.0,Negative,4.0%,13.0%,29.0%,42.0%,11.0%
2.0,Neutral,1.0%,7.0%,59.0%,31.0%,3.0%
3.0,Positive,37.0%,62.0%,1.0%,0.0%,0.0%
3.0,Positive,13.0%,72.0%,11.0%,3.0%,1.0%
1.0,Negative,1.0%,3.0%,23.0%,52.0%,20.0%
2.0,Neutral,0.0%,0.0%,99.0%,0.0%,0.0%
3.0,Positive,17.0%,74.0%,7.0%,1.0%,1.0%
2.0,Neutral,1.0%,13.0%,50.0%,32.0%,3.0%
2.0,Neutral,6.0%,23.0%,46.0%,21.0%,4.0%
3.0,Positive,6.0%,72.0%,20.0%,1.0%,0.0%
3.0,Positive,10.0%,75.0%,12.0%,2.0%,1.0%
2.0,Neutral,3.0%,15.0%,44.0%,33.0%,5.0%
1.0,Negative,1.0%,6.0%,26.0%,59.0%,8.0%
2.0,Neutral,2.0%,10.0%,55.0%,29.0%,4.0%
3.0,Positive,8.0%,40.0%,22.0%,25.0%,5.0%
2.0,Neutral,2.0%,18.0%,39.0%,36.0%,5.0%
2.0,Neutral,0.0%,5.0%,73.0%,20.0%,1.0%
1.0,Negative,2.0%,4.0%,25.0%,56.0%,14.0%
1.0,Negative,0.0%,3.0%,41.0%,51.0%,4.0%
3.0,Positive,8.0%,60.0%,16.0%,14.0%,3.0%
1.0,Negative,0.0%,1.0%,23.0%,68.0%,8.0%
2.0,Neutral,2.0%,30.0%,59.0%,9.0%,1.0%
1.0,Negative,2.0%,6.0%,26.0%,54.0%,12.0%
1.0,Negative,1.0%,4.0%,21.0%,67.0%,7.0%
1.0,Negative,2.0%,12.0%,25.0%,51.0%,11.0%
1.0,Negative,1.0%,4.0%,40.0%,48.0%,7.0%
2.0,Neutral,5.0%,25.0%,41.0%,24.0%,5.0%
1.0,Negative,1.0%,6.0%,43.0%,47.0%,4.0%
1.0,Negative,1.0%,6.0%,16.0%,63.0%,14.0%
3.0,Positive,42.0%,51.0%,5.0%,1.0%,1.0%
2.0,Neutral,0.0%,15.0%,82.0%,2.0%,0.0%
3.0,Positive,3.0%,46.0%,46.0%,5.0%,1.0%
1.0,Negative,11.0%,30.0%,16.0%,33.0%,9.0%
2.0,Neutral,3.0%,14.0%,59.0%,21.0%,3.0%
1.0,Negative,4.0%,15.0%,30.0%,43.0%,8.0%
1.0,Negative,1.0%,1.0%,15.0%,56.0%,26.0%
3.0,Positive,14.0%,64.0%,14.0%,6.0%,2.0%
1.0,Negative,2.0%,14.0%,33.0%,45.0%,6.0%
1.0,Negative,0.0%,2.0%,1.0%,94.0%,3.0%
3.0,Positive,11.0%,80.0%,8.0%,1.0%,0.0%
2.0,Neutral,2.0%,26.0%,62.0%,9.0%,1.0%
1.0,Negative,5.0%,28.0%,29.0%,32.0%,6.0%
